City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,albany,42.6001,-73.9662,17.36,79,79,3.44,US,1717980233
1,georgetown,5.4112,100.3354,26.96,88,40,2.57,MY,1717980040
2,upata,8.0086,-62.3989,23.36,94,100,1.63,VE,1717980233
3,bilibino,68.0546,166.4372,12.91,39,54,1.32,RU,1717980233
4,port-aux-francais,-49.35,70.2167,3.08,87,100,17.36,TF,1717980234
5,vilyuysk,63.7553,121.6247,21.11,36,25,2.24,RU,1717980234
6,argo,37.6333,22.7333,25.02,53,0,1.76,GR,1717980234
7,ola,59.5833,151.2833,8.97,85,99,2.18,RU,1717980234
8,adamstown,-25.066,-130.1015,22.31,75,100,5.65,PN,1717980235
9,grytviken,-54.2811,-36.5092,-7.11,77,22,5.18,GS,1717980235
10,olonkinbyen,70.9221,-8.7187,-1.02,85,100,6.55,SJ,1717980235
11,ketchikan,55.3422,-131.6461,16.26,27,75,6.17,US,1717979972
12,labrador city,52.9463,-66.9114,19.95,45,40,3.09,CA,1717980236
13,yellowknife,62.456,-114.3525,17.29,39,75,4.63,CA,1717980236
14,thompson,55.7435,-97.8558,19.09,24,20,2.06,CA,1717980236
15,wailua homesteads,22.0669,-159.378,30.24,73,0,6.69,US,1717980236
16,guerrero negro,27.9769,-114.0611,18.41,71,5,8.08,MX,1717980237
17,vadso,70.0744,29.7487,4.49,93,100,6.17,NO,1717980237
18,zhangye,38.9342,100.4517,25.71,15,100,6.0,CN,1717980237
19,waitangi,-43.9535,-176.5597,13.79,96,100,4.92,NZ,1717980237
20,papao,-17.75,-149.55,25.82,88,100,5.88,PF,1717980238
21,arno,60.1167,18.6333,9.88,83,99,6.02,SE,1717980238
22,edinburgh of the seven seas,-37.0676,-12.3116,12.25,80,100,7.91,SH,1717980238
23,avarua,-21.2078,-159.775,25.03,53,20,3.6,CK,1717980238
24,el calafate,-50.3408,-72.2768,1.25,98,100,1.42,AR,1717980239
25,bethel,41.3712,-73.414,20.98,74,0,3.09,US,1717980239
26,cova figueira,14.8905,-24.2934,17.99,79,0,4.48,CV,1717980239
27,chiang klang,19.2938,100.8617,25.49,96,100,1.38,TH,1717980239
28,puerto natales,-51.7236,-72.4875,1.41,99,100,2.33,CL,1717980240
29,akrehamn,59.2667,5.1833,11.34,87,100,10.29,NO,1717980240
30,weining,26.85,104.2333,16.36,86,83,0.73,CN,1717980240
31,mugia,43.1041,-9.2179,13.84,80,10,10.21,ES,1717980240
